This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
12/18/2011, 0
12/19/2011, 0
12/20/2011, 0.028759372861761796
12/21/2011, 0
12/22/2011, 0.08079029384412263
12/23/2011, 0
12/24/2011, 0
12/25/2011, 0
12/26/2011, 0
12/27/2011, 1.3983213525069387
12/28/2011, 0
12/29/2011, 2.3599821391858553
12/30/2011, 7.756578947368421
12/31/2011, 0
1/1/2012, 0
1/2/2012, 0
1/3/2012, 0
1/4/2012, 0
1/5/2012, 0
1/6/2012, 0
1/7/2012, 0.013545086509303042
1/8/2012, 0
1/9/2012, 0
1/10/2012, 0
1/11/2012, 0
1/12/2012, 0
1/13/2012, 0
1/14/2012, 0
1/15/2012, 0
1/16/2012, 0
1/17/2012, 0
1/18/2012, 0
1/19/2012, 0
1/20/2012, 0
1/21/2012, 0
1/22/2012, 0
1/23/2012, 0
1/24/2012, 0
1/25/2012, 0
1/26/2012, 0
1/27/2012, 0
1/28/2012, 0
1/29/2012, 0
1/30/2012, 0
1/31/2012, 0
2/1/2012, 0
2/2/2012, 0
2/3/2012, 0
2/4/2012, 0
2/5/2012, 0
2/6/2012, 0
2/7/2012, 0
2/8/2012, 0
2/9/2012, 0
2/10/2012, 0
2/11/2012, 2.6446834363435445
2/12/2012, 0
2/13/2012, 0
2/14/2012, 0
2/15/2012, 0
2/16/2012, 0
2/17/2012, 0
2/18/2012, 0
2/19/2012, 0
2/20/2012, 0
2/21/2012, 0
2/22/2012, 0
2/23/2012, 1.6192703247070312
2/24/2012, 0
2/25/2012, 0
2/26/2012, 0
2/27/2012, 0
2/28/2012, 0
2/29/2012, 0
3/1/2012, 0
3/2/2012, 0
3/3/2012, 0
3/4/2012, 0
3/5/2012, 0
3/6/2012, 0
3/7/2012, 0
3/8/2012, 0
3/9/2012, 0
3/10/2012, 0
3/11/2012, 0
3/12/2012, 0
3/13/2012, 0
3/14/2012, 0
3/15/2012, 0
3/16/2012, 0
3/17/2012, 0
3/18/2012, 0
3/19/2012, 0
3/20/2012, 0
3/21/2012, 0
3/22/2012, 0
3/23/2012, 0
3/24/2012, 0
3/25/2012, 0
3/26/2012, 0
3/27/2012, 0
3/28/2012, 0
3/29/2012, 0
3/30/2012, 0
3/31/2012, 0.7912070625706723
4/1/2012, 0
4/2/2012, 0
4/3/2012, 0
4/4/2012, 0
4/5/2012, 0
4/6/2012, 0.22224448856554532
4/7/2012, 1.1501465847617702
4/8/2012, 0.05846059949774491
4/9/2012, 1.046917062056692
4/10/2012, 3.6777311626233553
4/11/2012, 0
4/12/2012, 0
4/13/2012, 0
4/14/2012, 0
4/15/2012, 0
4/16/2012, 0.1293961625350149
4/17/2012, 7.585638748972039
4/18/2012, 9.131651225842928
4/19/2012, 0
4/20/2012, 0
4/21/2012, 0
4/22/2012, 1.3001452998111123
4/23/2012, 5.476645218698602
4/24/2012, 10.804967779862253
4/25/2012, 24.771033036081416
4/26/2012, 3.1426626506604647
4/27/2012, 9.073924817537007
4/28/2012, 0
4/29/2012, 7.344386853669819
4/30/2012, 6.505712408768503
5/1/2012, 8.80192084061472
5/2/2012, 11.811436703330592
5/3/2012, 0
5/4/2012, 0
5/5/2012, 0
5/6/2012, 0
5/7/2012, 0
5/8/2012, 4.587165832519531
5/9/2012, 1.2927764089483964
5/10/2012, 10.182281494140625
5/11/2012, 9.276807283100329
5/12/2012, 4.8812721653988485
5/13/2012, 2.8913530048571134
5/14/2012, 7.360796476665296
5/15/2012, 10.158639205129523
5/16/2012, 10.375503540039062
5/17/2012, 4.06379498933491
5/18/2012, 0
5/19/2012, 0
5/20/2012, 0.11649685156972785
5/21/2012, 0.1558182992433247
5/22/2012, 0
5/23/2012, 2.1451976173802425
5/24/2012, 0
5/25/2012, 0
5/26/2012, 0
5/27/2012, 0
5/28/2012, 0.2616109848022461
5/29/2012, 0
5/30/2012, 0
5/31/2012, 0.97996691653603
6/1/2012, 0
6/2/2012, 0
6/3/2012, 0
6/4/2012, 1.1827456825657894
6/5/2012, 0
6/6/2012, 0
6/7/2012, 0
6/8/2012, 0
6/9/2012, 3.9123511063425163
6/10/2012, 2.185971310264186
6/11/2012, 0
6/12/2012, 0
6/13/2012, 7.133607563219573
6/14/2012, 0.324700907657021
6/15/2012, 0
6/16/2012, 0.4777256313123201
6/17/2012, 0.26728002648604543
6/18/2012, 4.955231917531867
6/19/2012, 0.3124900115163703
6/20/2012, 0
6/21/2012, 0.11553776891607988
6/22/2012, 0.6336341657136616
6/23/2012, 0
6/24/2012, 0
6/25/2012, 0
6/26/2012, 6.4219300119500415
6/27/2012, 4.5057726408305925
6/28/2012, 1.8095108835320723
6/29/2012, 0
6/30/2012, 0
7/1/2012, 6.860513787520559
7/2/2012, 0
7/3/2012, 0
7/4/2012, 0
7/5/2012, 0
7/6/2012, 0
7/7/2012, 4.86522112394634
7/8/2012, 0.5282037132664731
7/9/2012, 4.390909295333059
7/10/2012, 9.81394396330181
7/11/2012, 0
7/12/2012, 2.525786148874383
7/13/2012, 21.219043932462995
7/14/2012, 10.564550299393503
7/15/2012, 4.358822471217105
7/16/2012, 0
7/17/2012, 11.415692781147204
7/18/2012, 11.650206716437088
7/19/2012, 0
7/20/2012, 5.50269237317537
7/21/2012, 0.1108655427631579
7/22/2012, 0
7/23/2012, 0
7/24/2012, 0
7/25/2012, 13.661754407380757
7/26/2012, 15.0753029271176
7/27/2012, 3.268670734606291
7/28/2012, 0
7/29/2012, 0
7/30/2012, 0
7/31/2012, 3.4161746376439144
8/1/2012, 1.0374598252145868
8/2/2012, 0
8/3/2012, 0
8/4/2012, 0
8/5/2012, 2.7854915418122945
8/6/2012, 6.082970067074425
8/7/2012, 0
8/8/2012, 10.563214753803454
8/9/2012, 1.0447581441778886
8/10/2012, 5.896383586682771
8/11/2012, 6.428321838378906
8/12/2012, 0
8/13/2012, 0.19342992180272153
8/14/2012, 7.208104986893503
8/15/2012, 5.533179032175164
8/16/2012, 0
8/17/2012, 2.2644956488358345
8/18/2012, 0
8/19/2012, 0
8/20/2012, 0
8/21/2012, 18.3856490285773
8/22/2012, 12.334556178042764
8/23/2012, 17.99641177528783
8/24/2012, 0
8/25/2012, 28.872629266036185
8/26/2012, 13.650127210115132
8/27/2012, 0
8/28/2012, 2.1463398180509867
8/29/2012, 18.124317369962995
8/30/2012, 19.215330425061676
8/31/2012, 0
9/1/2012, 0.16523687463057668
9/2/2012, 4.2448168302837175
9/3/2012, 12.058103862561678
9/4/2012, 0
9/5/2012, 0
9/6/2012, 1.6545774560225637
9/7/2012, 0.24878572162828946
9/8/2012, 3.777836046720806
9/9/2012, 3.998066550806949
9/10/2012, 6.781328703227796
9/11/2012, 1.7818181891190379
9/12/2012, 0
9/13/2012, 2.338631880910773
9/14/2012, 13.031821803042764
9/15/2012, 0
9/16/2012, 0
9/17/2012, 0
9/18/2012, 0
9/19/2012, 0
9/20/2012, 1.630616639789782
9/21/2012, 0
9/22/2012, 1.3019624007375616
9/23/2012, 2.965757269608347
9/24/2012, 0
9/25/2012, 0
9/26/2012, 15.199846769634046
9/27/2012, 8.435040122584292
9/28/2012, 7.599923384817023
9/29/2012, 2.3319360833419
9/30/2012, 13.59417724609375
10/1/2012, 8.35484474583676
10/2/2012, 0.4825743625038548
10/3/2012, 0
10/4/2012, 0
10/5/2012, 0
10/6/2012, 15.84357331928454
10/7/2012, 3.9246191727487663
10/8/2012, 0.6584861654984323
10/9/2012, 0.6167862540797183
10/10/2012, 0
10/11/2012, 0
10/12/2012, 0
10/13/2012, 4.747257433439556
10/14/2012, 23.896765457956416
10/15/2012, 14.78346814607319
10/16/2012, 0.31839408372577865
10/17/2012, 0
10/18/2012, 0
10/19/2012, 2.7543511641652962
10/20/2012, 11.470254195363898
10/21/2012, 4.032439783999794
10/22/2012, 0
10/23/2012, 1.3885994961387234
10/24/2012, 0
10/25/2012, 0
10/26/2012, 0
10/27/2012, 0
10/28/2012, 0.09098169050718609
10/29/2012, 6.827929045024671
10/30/2012, 13.60565185546875
10/31/2012, 27.311716180098685
11/1/2012, 9.356766550164474
11/2/2012, 0
11/3/2012, 3.0716562773052014
11/4/2012, 0
11/5/2012, 0.9791156367251748
11/6/2012, 0
11/7/2012, 0
11/8/2012, 0
11/9/2012, 0
11/10/2012, 0
11/11/2012, 0
11/12/2012, 0
11/13/2012, 0
11/14/2012, 0
11/15/2012, 0
11/16/2012, 0
11/17/2012, 0
11/18/2012, 0
11/19/2012, 0
11/20/2012, 0
11/21/2012, 0
11/22/2012, 0
11/23/2012, 4.149643345883018
11/24/2012, 3.353042803312603
11/25/2012, 0.20967742016440943
11/26/2012, 0
11/27/2012, 0
11/28/2012, 0
11/29/2012, 0
11/30/2012, 2.663746482447574
12/1/2012, 0
12/2/2012, 0
12/3/2012, 0.2996944126329924
12/4/2012, 1.2233109725149054
12/5/2012, 0
12/6/2012, 0
12/7/2012, 0
12/8/2012, 0
12/9/2012, 0
12/10/2012, 0
12/11/2012, 0
12/12/2012, 0
12/13/2012, 0
12/14/2012, 0
12/15/2012, 0
12/16/2012, 0.5639606275056538
12/17/2012, 1.1283497057462994
12/18/2012, 0
12/19/2012, 0
12/20/2012, 0
